head,relation,tail
C0082607,Treatment_IndicationUse,C1171179
C0082607,Etiology_AssociatedWith,C0007634
C0082607,MoA_InhibitionBlockade,C0014458
C0082607,PK_DistributionProteinBinding,C0001560
C0082607,PK_DistributionProteinBinding,C1442770
C0082607,Taxonomy_MemberOf,C4521954
C0082607,Taxonomy_MemberOf,C0282555
C0082607,Taxonomy_MemberOf,C0282556
C0082607,Taxonomy_MemberOf,C0161598
C0082607,Taxonomy_MemberOf,C0591201
C0082607,Taxonomy_MemberOf,C1373012
C0082607,Taxonomy_MemberOf,C0443077
C0082607,Taxonomy_MemberOf,C0205489
C0082607,Regulatory_Status,C0456592
C0082607,Regulatory_Status,C0521923
C0076181,Taxonomy_IsA,C0744425
C0076181,Treatment_IndicationUse,C1334156
C0076181,Treatment_IndicationUse,C0271739
C0076181,Treatment_IndicationUse,C0156147
C0076181,Treatment_IndicationUse,C0003873
C0076181,Treatment_IndicationUse,C0024131
C0076181,Treatment_IndicationUse,C0581126
C0076181,Treatment_IndicationUse,C2919828
C0076181,Treatment_IndicationUse,C0001617
C0076181,MoA_BindingAffinity,C1841967
C0076181,Taxonomy_IsA,C0020343
C0076181,Taxonomy_IsA,C0443077
C0076181,Etiology_AssociatedWith,C0470251
C0076181,Regulatory_Status,C0199168
C0076181,Etiology_AssociatedWith,C1512026
C0063079,Taxonomy_IsA,C4050091
C0063079,Treatment_IndicationUse,C0033774
C0063079,Treatment_IndicationUse,C0271739
C0063079,Treatment_IndicationUse,C0003873
C0063079,Treatment_IndicationUse,C0024131
C0063079,Treatment_IndicationUse,C0581126
C0063079,Treatment_IndicationUse,C2919828
C0063079,Treatment_IndicationUse,C0156147
C0063079,MoA_BindingAffinity,C1841967
C1841967,Etiology_AssociatedWith,C0521447
C0521447,MoA_BindingAffinity,C5236345
C0063079,MoA_ActivationInduction,C1521840
C0063079,MoA_InhibitionBlockade,C0749224
C0063079,Etiology_AssociatedWith,C0470251
C0063079,Taxonomy_PartOf,C4521954
C0063079,Taxonomy_PartOf,C0443077
C0063079,Taxonomy_IsA,C0051169
C0063079,Regulatory_Status,C0020157
C0063079,Regulatory_Status,C5787033
C0071842,Taxonomy_IsA,C0744425
C0071842,Etiology_AssociatedWith,C0003392
C0071842,Treatment_IndicationUse,C0700624
C0071842,Treatment_IndicationUse,C1709160
C0071842,Treatment_IndicationUse,C0027765
C0071842,Treatment_IndicationUse,C0035242
C0071842,Taxonomy_PartOf,C4521954
C0071842,Taxonomy_PartOf,C0443077
C0071842,Regulatory_Status,C0042615
C2698382,Taxonomy_IsA,C0033262
C2698382,MoA_AgonistAntagonist,C1841967
C2698382,Etiology_AssociatedWith,C0003209
C2698382,Treatment_IndicationUse,C0700624
C2698382,Treatment_IndicationUse,C1709160
C2698382,Treatment_IndicationUse,C0035242
C2698382,Treatment_IndicationUse,C3825575
C2698382,Treatment_IndicationUse,C0275908
C2698382,Treatment_IndicationUse,C0410092
C2698382,Treatment_IndicationUse,C0002893
C2698382,PK_Metabolism,C0750848
C0443077,Etiology_AssociatedWith,C1517486
C2698382,Taxonomy_PartOf,C4521954
C2698382,Taxonomy_PartOf,C0443077
C2698382,Treatment_IndicationUse,C0263504
C2698382,Treatment_IndicationUse,C0022548
C2698382,Treatment_IndicationUse,C5679638
C2698382,Treatment_IndicationUse,C0027822
C2698382,Treatment_IndicationUse,C2231179
C2698382,Treatment_IndicationUse,C0406317
C2698382,Treatment_IndicationUse,C0333410
C0770564,Taxonomy_IsA,C0443077
C0770564,Taxonomy_PartOf,C4521954
C0770564,Taxonomy_PartOf,C0443077
C0770564,Etiology_AssociatedWith,C0232342
C0770564,Etiology_AssociatedWith,C0232378
C0770564,Etiology_AssociatedWith,C1371595
C0770564,Regulatory_Status,C0205540
C0770564,Etiology_AssociatedWith,C2698783
C0770564,Taxonomy_IsA,C1709520
C0770564,Etiology_AssociatedWith,C5423068
C0035930,Etiology_AssociatedWith,C2020030
C0035930,Treatment_IndicationUse,C1699633
C1268555,Etiology_AssociatedWith,C0925111
C1268555,Etiology_AssociatedWith,C0001479
C0443168,Anatomy_SpatialRelation,C2825530
C1268555,Taxonomy_PartOf,C2917424
C1268555,Taxonomy_PartOf,C2757000
C1268555,Treatment_IndicationUse,C0162514
C0042839,Taxonomy_IsA,C3661727
C0042839,Taxonomy_DerivedFrom,C0449416
C0042839,Etiology_AssociatedWith,C5240700
C0042839,Etiology_AssociatedWith,C3687582
C0042839,Etiology_AssociatedWith,C0040845
C0042839,Etiology_AssociatedWith,C3702065
C0042839,Etiology_AssociatedWith,C0042789
C0042839,Etiology_AssociatedWith,C1707934
C0042839,Etiology_AssociatedWith,C2911660
C0042839,Etiology_AssociatedWith,C0442692
C0042839,Etiology_AssociatedWith,C3893707
C0042839,Taxonomy_PartOf,C0001552
C0042839,Taxonomy_PartOf,C0205470
C0042839,Taxonomy_PartOf,C3653826
C0042839,Taxonomy_PartOf,C0002068
C0042839,Taxonomy_PartOf,C3653731
C0042839,Taxonomy_PartOf,C1518480
C0042839,Taxonomy_PartOf,C4076258
C0281420,Etiology_AssociatedWith,C1540219
C0281420,Taxonomy_IsA,C4076258
C0281420,Taxonomy_IsA,C0042839
C0281420,Etiology_AssociatedWith,C0205238
C0281420,Anatomy_LocatedIn,C2348898
C0281420,Etiology_AssociatedWith,C2330097
C0281420,Etiology_AssociatedWith,C0311404
C0281420,MoA_ModulationOther,C4329354
C0281420,Taxonomy_IsA,C0040845
C0281420,PK_DistributionProteinBinding,C1442469
C0281420,Etiology_AssociatedWith,C1148564
C0281420,Etiology_AssociatedWith,C0162772
C0281420,Clinical_ManifestationPresentation,C0023823
C0281420,Etiology_AssociatedWith,C1517312
C0281420,MoA_InhibitionBlockade,C0178796
C0281420,Etiology_AssociatedWith,C1325761
C0281420,DrugClass_Category,C3653826
C0281420,DrugClass_Category,C0002068
C0281420,DrugClass_Category,C4076258
C0281420,DrugClass_Category,C1266463
C0281420,DrugClass_Category,C0056763
C0281420,DrugClass_Category,C0010578
C0281420,DrugClass_Category,C0205489
C0281420,DrugClass_Category,C2945766
C0281420,DrugClass_Category,C3653752
C0281420,DrugClass_Category,C0016452
C0281420,DrugClass_Category,C0005329
C0281420,DrugClass_Category,C1812630
C0281420,DrugClass_Category,C0020242
C0042874,Alias_Name,C3255108
C0042874,Etiology_AssociatedWith,C1148564
C1848533,Etiology_AssociatedWith,C1527396
C1848533,Etiology_AssociatedWith,C0008370
C1848533,Etiology_AssociatedWith,C3829821
C0042874,Etiology_AssociatedWith,C0016693
C5779643,Etiology_AssociatedWith,C0009375
C0042874,Etiology_AssociatedWith,C0470616
C0042874,Etiology_AssociatedWith,C2331826
C0042874,Taxonomy_PartOf,C1518480
C0042874,Taxonomy_PartOf,C0028911
C0042874,Taxonomy_PartOf,C0596577
C0042874,Taxonomy_PartOf,C1709739
C0042874,Regulatory_Status,C0308714
C0060197,Taxonomy_IsA,C0205208
C0060197,DrugClass_Category,C0202216
C0202216,Taxonomy_DerivedFrom,C0042839
C0060197,Etiology_AssociatedWith,C0920425
C0060197,MoA_ActivationInduction,C1326205
C0060197,DrugInteraction,C1514760
C0060197,DrugInteraction,C0014440
C0060197,Etiology_AssociatedWith,C1517486
C0060197,Etiology_AssociatedWith,C0278296
C0677764,Etiology_AssociatedWith,C0035339
